City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Xixiang,CN,35.1628,112.865,97.2,22,70,13.27,broken clouds
222,Sobolevo,RU,54.4299,31.8996,52.7,95,99,11.79,overcast clouds
223,Chokurdakh,RU,70.6333,147.9167,46.62,47,79,8.59,broken clouds
224,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,26,6.49,scattered clouds
225,Livingston,GB,55.9029,-3.5226,51.28,94,100,8.05,overcast clouds
226,Ponta Delgada,PT,37.7333,-25.6667,67.5,100,75,8.05,broken clouds
227,Alice Springs,AU,-23.7,133.8833,60.35,67,100,12.66,overcast clouds
228,Nanortalik,GL,60.1432,-45.2371,40.73,74,74,6.64,broken clouds
229,Ca Mau,VN,9.1769,105.15,86.23,70,97,7.58,overcast clouds
230,Hare Bay,CA,48.8499,-54.0148,38.55,96,100,10.63,overcast clouds
231,Hirara,JP,24.8,125.2833,80.26,83,98,8.79,light rain
232,Boyolangu,ID,-8.1181,111.8935,82.72,71,89,6.78,overcast clouds
233,Plettenberg Bay,ZA,-34.0527,23.3716,54.57,52,0,2.68,clear sky
234,Gamba,GA,-2.65,10.0,72.01,95,100,3.96,overcast clouds
235,Olafsvik,IS,64.8945,-23.7142,46.47,85,100,12.33,overcast clouds
236,Pringsewu,ID,-5.3582,104.9744,84.54,64,88,6.55,overcast clouds
237,Glenwood Springs,US,39.5505,-107.3248,68.92,28,0,5.75,clear sky
238,Chatra,IN,24.2167,84.8667,100.87,17,100,9.04,overcast clouds
239,Lata,PT,40.1629,-8.3327,53.96,95,3,4.05,clear sky
240,Ahuimanu,US,21.4447,-157.8378,82.11,71,100,16.11,overcast clouds
241,Sao Francisco,BR,-15.9486,-44.8644,66.81,51,90,2.62,light rain
242,Resistencia,AR,-27.4606,-58.9839,48.09,85,0,3.44,clear sky
243,Laguna,US,38.421,-121.4238,84.45,37,0,14.97,clear sky
244,Maravilha,BR,-26.7608,-53.1725,51.8,100,100,3.6,overcast clouds
245,Cidreira,BR,-30.1811,-50.2056,54.16,71,76,8.63,broken clouds
246,Kruisfontein,ZA,-34.0033,24.7314,47.62,85,0,5.53,clear sky
247,Saint-Pierre,RE,-21.3393,55.4781,67.91,64,0,5.75,clear sky
248,Nome,US,64.5011,-165.4064,58.15,86,0,10.36,clear sky
249,Isangel,VU,-19.55,169.2667,77.43,82,100,13.6,overcast clouds
